source_index,text_sha256,clean_label,clean_class,noisy_label,noisy_class,injected_label_error
11,8458cb43db1d47f21f6d5f07f7f897e25d8824e2110ad120da3f24979e5d3d88,2,Business,2,Business,False
14,80cb8e408bf03b6b688556b7708daca827d4488e6bc2b8a83f4245989fb49d5c,2,Business,3,Sci/Tech,True
38,9997cc38561c4ec019145bb8abee5c0d385dc4b57bf407332ef7eb9284bf7552,2,Business,3,Sci/Tech,True
44,5726260d7d14a26ee60b1c8180ced01534eff3d9879571837f91df6980780cb9,2,Business,2,Business,False
49,ae12b367ac1b4357750137be4f6fa95bd6a3eef82ac0694f291c7761d4537e9c,2,Business,2,Business,False
56,3f21211a2a93375b7d801f0fff0d1cfbf4ecaa924ddd5405eef10df10bbd3775,2,Business,2,Business,False
58,2a2803a1fd0eb4623c8e8afafd8b76a6c7590a44a0b4c0e0c1e70f6024b7d665,2,Business,2,Business,False
62,84959235b63bde8a57264d1deb64672e697a3dc40be9b58ac6a719a1d1037f8f,2,Business,2,Business,False
64,c9bf1e6831c3d6dbc94f6ef414f94403142f25b24c73fdbfae666035208625e7,2,Business,2,Business,False
65,6ae3fe59a3755a89cfd5c8a499a6ce9afc93ea9a7c97ed70c2b6c114ccfe2c3a,2,Business,2,Business,False
78,fac0c520f5026108bdaf45fde6aa0ca6fd4e631cc89c6e819b19a6d5ee3686e0,3,Sci/Tech,3,Sci/Tech,False
122,2a112fda7a3a949dd92dbf92cffe0e0932577ac98e0f35885ce6cabb1b521758,3,Sci/Tech,3,Sci/Tech,False
140,a48827f25b7dddb9527d0c445efe5475f38ac3b061fb255a31f0508db9962da0,3,Sci/Tech,3,Sci/Tech,False
143,28a1fe948be56285ed1505e4d039cfcb0bc96cc2d10feb2d101096cfe4a8fed3,3,Sci/Tech,3,Sci/Tech,False
160,9b205ea1730e02f3142b5a922f816c6c7d1f766acac68441887aea9043e6ec27,3,Sci/Tech,3,Sci/Tech,False
165,4774134c79896a354f6d2ca4ae78a4d911c22cd06b175f52610f4733741bc002,3,Sci/Tech,3,Sci/Tech,False
