implementation,method,flagged,true_positives,false_positives,false_negatives,precision,recall,f1_score,mask_agreement_with_author,jaccard_with_author
authors_released_mask,argmax,25732,18012,7720,1969,0.6999844551531167,0.9014563835643862,0.7880471638264827,1.0,1.0
authors_released_mask,cl_pbc,22980,17069,5911,2912,0.7427763272410792,0.8542615484710475,0.7946276855752893,1.0,1.0
authors_released_mask,cl_pbnr,20748,16300,4448,3681,0.7856178908810488,0.8157749862369251,0.8004124825063224,1.0,1.0
authors_released_mask,cl_both,19848,15594,4254,4387,0.785671100362757,0.780441419348381,0.7830475281829822,1.0,1.0
authors_released_mask,confident_joint,21665,16710,4955,3271,0.771290099238403,0.836294479755768,0.8024780291024348,1.0,1.0
cleanlab_2.9.0,argmax,25722,18004,7718,1977,0.6999455718839903,0.9010560032030429,0.7878695052841169,0.9998,0.9996113788279185
cleanlab_2.9.0,cl_pbc,22982,17067,5915,2914,0.7426246627795666,0.8541614533807117,0.7944975909503527,0.9996,0.9991300943847593
cleanlab_2.9.0,cl_pbnr,20742,16294,4448,3687,0.7855558769646128,0.8154747009659177,0.800235739017263,0.99968,0.999229027128608
cleanlab_2.9.0,cl_both,19849,15592,4257,4389,0.7855307572169883,0.7803413242580451,0.7829274416269143,0.99946,0.9986406202799315
cleanlab_2.9.0,confident_joint,20935,16162,4773,3819,0.7720085980415572,0.8088684250037536,0.7900087985140287,0.98508,0.9655792922068934
